property_type,property,location_area,location,total_price,price_sqft,area(sq-ft),bhk,bath,has_balcony,area_type,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,floor,furnished_status,property_status,marble_floor,property_link,property_description
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8945000,5000,1789,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1789-sq-ft-builder-floor-in-sirsi-road/9815647,"This 3-bedroom, 2-bathroom builder floor in Jaipur presents a well-maintained living space of 1789 square feet, available for 89.45 lakh.Situated in the Sirsi Road area, this semi-furnished property, with a construction age of 2-4 years, offers a comfortable environment for family living.The inclusion of one dedicated parking space adds to the convenience for residents.This home provides ample room and a"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7810000,4999,1562,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1562-sq-ft-builder-floor-in-sirsi-road/9815604,"Enjoy a comfortable lifestyle in this 1562 square feet builder floor located on Sirsi Road, Jaipur, offered for sale at 78.09 lakh.This semi-furnished home features three bedrooms and two bathrooms, providing sufficient living space for a family.Built between two to four years ago, the property boasts modern construction and finishes, ensuring a contemporary living experience.The convenience of one dedicated parking"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8085000,4999,1617,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1617-sq-ft-builder-floor-in-sirsi-road/9815622,"This builder floor located on Sirsi Road in Jaipur offers a practical living space for families, featuring three bedrooms and two bathrooms spread across 1617 square feet.The property comes semi-furnished, allowing new owners to personalize the interiors while reducing the immediate need for major furnishing purchases.With a price of 80.84 lakh, this ground-floor unit is easily accessible and includes one"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8060000,4999,1612,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1612-sq-ft-builder-floor-in-sirsi-road/9815620,"A practical choice for families, this builder floor offers 1612 square feet of living space on the ground floor.The property features three bedrooms and two bathrooms, providing ample room for everyone.It comes semi-furnished, allowing you to add your personal touch without starting from scratch.You will also benefit from one dedicated parking space.This home, built within the last two to four"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6030000,5000,1206,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1206-sq-ft-builder-floor-in-sirsi-road/9814951,"A 1206 square feet builder floor in Sirsi Road, Jaipur, is available for purchase at 60.3 lakh, offering a comfortable living space with 2 bedrooms and 2 bathrooms.This semi-furnished property, built within the last 2 to 4 years, provides a modern and practical home.The inclusion of one dedicated parking spot enhances convenience for residents and their visitors.Its location in a"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5500000,5000,1100,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1100-sq-ft-builder-floor-in-sirsi-road/9814931,"This 2-bedroom, 2-bathroom builder floor in Jaipur's Sirsi Road area presents a smart acquisition for those seeking a comfortable dwelling.Spanning 1100 square feet on the ground floor, this semi-furnished property is priced at 55 lakh and comes with one dedicated parking space.Its age, between 2 to 4 years, suggests modern construction and design, offering a move-in ready experience for its"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6240000,5000,1248,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1248-sq-ft-builder-floor-in-sirsi-road/9814960,"Consider this semi-furnished, two-bedroom, two-bathroom builder floor in Jaipur, Rajasthan, for your next purchase at 62.4 lakh.Spanning a generous 1248 square feet, this property is ready for you to make it your own, offering ample room for comfortable living and entertaining.The home is located in a building that is 2-4 years old, suggesting modern construction and fewer immediate maintenance concerns.With"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5670000,5000,1134,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1134-sq-ft-builder-floor-in-sirsi-road/9814937,"This 2-bedroom, 2-bathroom semi-furnished builder floor in Jaipur offers a comfortable living space of 1134 square feet, ideal for families or individuals seeking a home in the Sirsi Road area.Priced at 56.7 lakh, this property, which is between 2 to 4 years old, provides a modern and well-maintained environment.The inclusion of one parking space adds to the convenience of this"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5165000,5000,1033,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1033-sq-ft-builder-floor-in-sirsi-road/9814918,"This 2-bedroom, 2-bathroom semi-furnished builder floor on Sirsi Road in Jaipur offers a welcoming living environment for its new occupants.The property spans 1033 square feet, providing ample space for comfortable living.With one covered parking spot, your vehicle will be safely accommodated.The home is within a building that is 2 to 4 years old, indicating a relatively modern construction.This builder floor"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5135000,5000,1027,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1027-sq-ft-builder-floor-in-sirsi-road/9814917,"This 2-bedroom, 2-bathroom semi-furnished builder floor on Sirsi Road in Jaipur is listed for sale at 51.35 Lac.With 1027 square feet of living space and covered parking for one vehicle, this property provides a comfortable and convenient home.The builder floor is between 2 to 4 years old, offering a relatively modern construction.Its practical layout and desirable location in Jaipur make"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5270000,5000,1054,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1054-sq-ft-builder-floor-in-sirsi-road/9814921,"Located on Sirsi Road in Jaipur, this semi-furnished builder floor is available for sale at 52.7 lakh.This property offers 2 bedrooms and 2 bathrooms across 1054 square feet of living space.It comes with one dedicated parking spot.The builder floor is between 2 to 4 years old, providing a good balance of modern features and established construction.This home provides a practical"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5770000,5000,1154,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1154-sq-ft-builder-floor-in-sirsi-road/9814942,"A convenient lifestyle awaits in this 2-bedroom, 2-bathroom semi-furnished builder floor located in Sirsi Road, Jaipur.Priced at 57.7 lakh, this property spans 1154 square feet, offering ample space for comfortable living.Built within the last 2 to 4 years, it represents a modern and relatively new addition to the housing market.The floor comes with one dedicated parking space, adding to its"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7920000,5000,1584,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1584-sq-ft-builder-floor-in-bhapura/9797178,"This builder floor offers a comfortable and convenient lifestyle in the Bhapura locality of Jaipur, perfect for families looking for a spacious home.Priced at 79.2 lakh, this semi-furnished property spans 1584 square feet and features three bedrooms and three bathrooms, providing ample space for everyone.The builder floor includes one dedicated parking space, ensuring you have a secure place for your"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7815000,5000,1563,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1563-sq-ft-builder-floor-in-bhapura/9797172,"Find a welcoming home in Bhapura, Jaipur, with this semi-furnished 1563 square feet builder floor, featuring three bedrooms and three bathrooms, perfect for family living.This property, priced at 78.15 lakh, is between 2 to 4 years old, offering a modern build and a comfortable lifestyle.It includes one dedicated parking space, ensuring ease of access and security for your vehicle.The layout"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7840000,5000,1568,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1568-sq-ft-builder-floor-in-bhapura/9797174,"A semi-furnished builder floor in Bhapura, Jaipur, presents a compelling option for those looking for a blend of comfort and functionality, offering 1568 square feet of living space designed for modern living.This three-bedroom, three-bathroom home includes one designated parking spot, ensuring convenience for residents.Priced at 78.4 lakh, the property is between 2 to 4 years old, indicating recent construction and"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7340000,5000,1468,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1468-sq-ft-builder-floor-in-bhapura/9797153,"This builder floor in Bhapura, Jaipur, presents 1468 square feet of well-appointed living space for 73.4 lakh.The property is semi-furnished, offering a convenient starting point for personalizing your home.It features three spacious bedrooms and three bathrooms, ensuring comfort and privacy for all occupants.A dedicated parking space is included, adding to the property's practicality.Constructed within the last two to four years,"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7535000,4999,1507,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1507-sq-ft-builder-floor-in-bhapura/9797160,"This 1507 square feet builder floor in Bhapura, Jaipur, offers a comfortable and functional living arrangement with three bedrooms and three bathrooms.Priced at 75.34 lakh, this semi-furnished property is between two and four years old, providing a modern dwelling.It includes one dedicated parking space for your convenience.This home is a practical choice for those seeking a well-maintained property in a"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,8175000,5000,1635,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1635-sq-ft-builder-floor-in-bhapura/9797185,"This ready-to-move-in builder floor in Bhapura presents a compelling option for those prioritizing spacious living and modern convenience.The property spans 1635 square feet, offering three well-appointed bedrooms and three bathrooms, providing ample space for family and guests.Being semi-furnished, it allows for personalization while reducing the initial setup effort.The builder floor is relatively new, constructed within the last two to four"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,7980000,5000,1596,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1596-sq-ft-builder-floor-in-bhapura/9797180,"This three-bedroom, three-bathroom builder floor in Bhapura provides a generous 1596 square feet of living space, perfect for those seeking comfort and room to grow.The property comes semi-furnished, offering a convenient starting point for you to add your personal touches and create your dream home.With one designated parking space, daily commutes and errands will be made easier.The construction is relatively"
 Builder Floor ,"3 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,8235000,4999,1647,3,3,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1647-sq-ft-builder-floor-in-bhapura/9797186,"This semi-furnished builder floor in Bhapura presents a smart acquisition for potential homeowners or investors, offering 1647 square feet of well-designed living space for 82.35 lakh.With three bedrooms and three bathrooms, this property provides comfortable accommodation for families or for those who entertain guests.The inclusion of one parking spot adds a practical benefit for daily convenience.Constructed between two and four"
 Builder Floor ,"3 BHK Builder Floor for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,7835000,4999,1567,3,2,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1567-sq-ft-builder-floor-in-vaishali-nagar/9803940,"Explore a comfortable living experience in this 3-bedroom, 2-bathroom builder floor situated in the desirable Vaishali Nagar area of Jaipur.Priced at 78.34 lakh, this semi-furnished property offers 1567 square feet of well-designed space, ideal for families seeking a blend of comfort and convenience.The builder floor, aged between 2 to 4 years, comes with one dedicated parking spot, ensuring ease of"
 Builder Floor ,"3 BHK Builder Floor for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,7530000,5000,1506,3,2,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1506-sq-ft-builder-floor-in-vaishali-nagar/9803884,"Enjoy a comfortable lifestyle in this semi-furnished 3-bedroom, 2-bathroom builder floor located in the desirable Vaishali Nagar area of Jaipur.This home, priced at 75.3 lakh, offers 1506 square feet of living space, providing a practical and inviting atmosphere for families or individuals.Built within the last two to four years, the property benefits from modern construction and design, ensuring a good"
 Builder Floor ,"3 BHK Builder Floor for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,8465000,5000,1693,3,2,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1693-sq-ft-builder-floor-in-vaishali-nagar/9804139,"Consider this semi-furnished builder floor in Vaishali Nagar, Jaipur, offering 1693 square feet of living space.This home is designed with three bedrooms and two bathrooms, providing a practical and comfortable environment for a family.Built between two to four years ago, it represents modern construction.The property includes one parking space, adding to the convenience for residents.Available for sale at 84.65 Lac,"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6165000,5000,1233,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1233-sq-ft-builder-floor-in-sirsi-road/9814956,"This 2-bedroom, 2-bathroom semi-furnished builder floor on Sirsi Road in Jaipur presents a great value for homeowners.Priced at 61.65 lakh, this 1233 square feet property is located on the ground floor, offering convenient access.The building is between two and four years old, indicating modern construction.This home provides a comfortable and accessible lifestyle in a desirable area.This property includes one dedicated"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5475000,5000,1095,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1095-sq-ft-builder-floor-in-sirsi-road/9814930,"Secure your new home in Jaipur with this semi-furnished 2-bedroom, 2-bathroom builder floor on Sirsi Road, priced at 54.75 lakh.This 1095 square feet property, aged between 2 to 4 years, offers comfortable living with one dedicated parking space.The location provides good connectivity and access to daily conveniences.This builder floor presents a practical choice for those looking to establish themselves in"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6480000,5000,1296,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1296-sq-ft-builder-floor-in-sirsi-road/9814966,"This two-bedroom, two-bathroom builder floor in Jaipur offers a comfortable living space for families.Situated on Sirsi Road, this semi-furnished property is approximately 1296 square feet and has a property age of 2 to 4 years, indicating a relatively new construction.The home includes one dedicated parking spot.This property is priced at 64.8 Lac, presenting a practical option for homebuyers looking for"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5815000,5000,1163,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1163-sq-ft-builder-floor-in-sirsi-road/9814944,"Here is a 2-bedroom, 2-bathroom semi-furnished builder floor available for sale on Sirsi Road in Jaipur.This property offers 1163 square feet of living space and includes one parking spot, making it a practical choice for small families or individuals.Situated in a location known for its development and accessibility, this home provides a comfortable living environment.The property's age of 2-4 years"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5640000,5000,1128,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1128-sq-ft-builder-floor-in-sirsi-road/9814936,"This semi-furnished 2-bedroom, 2-bathroom builder floor on Sirsi Road in Jaipur presents a comfortable living option for 56.4 lakh.Spread across 1128 square feet, this property offers ample space for a small family or individual.The builder floor provides a dedicated parking spot for one vehicle, ensuring convenience for residents.Located in a developing area, it offers a balance between peaceful living and"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7740000,5000,1548,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1548-sq-ft-builder-floor-in-sirsi-road/9815595,"Secure your next home on Sirsi Road with this semi-furnished builder floor offering 1548 square feet of living space.This property, built between 2 to 4 years ago, provides a modern living environment perfect for families seeking comfort and convenience.It features 3 bedrooms and 2 bathrooms, providing ample space for everyone.A dedicated parking space ensures your vehicle is always accommodated.The property"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8725000,5000,1745,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1745-sq-ft-builder-floor-in-sirsi-road/9815643,"This three-bedroom, two-bathroom builder floor in Jaipur offers 1745 square feet of living space with one dedicated parking spot, perfect for families seeking comfort and convenience.The property is semi-furnished, allowing you to add your personal touch to the interiors while saving on immediate setup costs.Located in the Sirsi Road area, this home is ideal for those looking for a property"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7940000,5000,1588,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1588-sq-ft-builder-floor-in-sirsi-road/9815615,"This builder floor in Sirsi Rd, Jaipur presents a compelling living space for families with its 1588 square feet of area, offering three bedrooms and two bathrooms designed for comfort and functionality.Priced at 79.4 lakh, this semi-furnished property, built within the last two to four years, ensures modern construction standards and a move-in ready condition.The inclusion of one dedicated parking"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8425000,5000,1685,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1685-sq-ft-builder-floor-in-sirsi-road/9815634,"A comfortable lifestyle awaits in this semi-furnished builder floor located in Sirsi Road, Jaipur.This 1685 square feet property offers three bedrooms and two bathrooms, perfect for family living or accommodating guests.The builder floor is situated on the ground floor, providing convenient access without the need for stairs.With one dedicated parking space, you will have no trouble parking your vehicle.The property"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7560000,4999,1512,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1512-sq-ft-builder-floor-in-sirsi-road/9815587,"This builder floor in Sirsi Road, Jaipur, offers a compelling opportunity for homeowners looking for a spacious and well-appointed residence.Priced at 75.59 lakh, this semi-furnished property spans 1512 square feet and features three bedrooms and two bathrooms, providing ample space for a family.The property is between 2 to 4 years old, indicating modern construction and fewer immediate maintenance concerns.With one"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6145000,5000,1229,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1229-sq-ft-builder-floor-in-sirsi-road/9814955,"This 1229 square feet builder floor in Sirsi Road, Jaipur, is available for sale at 61.45 lakh, offering a well-appointed living space with 2 bedrooms and 2 bathrooms.The property includes one dedicated parking spot, enhancing everyday convenience for residents and their guests.Built within the last 2 to 4 years, this semi-furnished home provides a contemporary foundation that you can easily"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5365000,5000,1073,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1073-sq-ft-builder-floor-in-sirsi-road/9814926,"A tranquil residence awaits on Sirsi Road, offering a serene living experience in Jaipur.This semi-furnished builder floor provides 1073 square feet of comfortable space, featuring 2 bedrooms and 2 bathrooms perfect for a small family or couple.Priced at 53.65 lakh, it represents a sensible acquisition for those prioritizing value and location.The property, with an age of 2 to 4 years,"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,6070000,5000,1214,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1214-sq-ft-builder-floor-in-sirsi-road/9814952,"A bright 1214 square feet builder floor in Jaipur's Sirsi Road area is now available for purchase at 60.7 lac, offering two bedrooms and two bathrooms ideal for a small family or as a rental investment.This semi-furnished home, constructed between two to four years ago, provides a blank canvas for you to add your personal touch and create a comfortable"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5290000,5000,1058,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1058-sq-ft-builder-floor-in-sirsi-road/9814923,"A practical choice for modern living, this semi-furnished 2-bedroom, 2-bathroom builder floor in Sirsi Road, Jaipur, is available for sale at 52.9 Lac.Spanning 1058 square feet, this ground-floor property offers comfortable living space with one dedicated parking spot.The home is between 2 to 4 years old, presenting a relatively new construction.Its location in Jaipur provides access to the city's conveniences"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8185000,4999,1637,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1637-sq-ft-builder-floor-in-sirsi-road/9815625,"This 3-bedroom, 2-bathroom builder floor presents a compelling offer at 81.4 Lac, providing 1628 square feet of living space that is semi-furnished and ready for your personal touch.Located in Sirsi Road, Jaipur, this property is suitable for families needing room to grow or investors looking for rental income in a developing area.The construction is relatively new, between two and four"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7910000,4999,1582,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1582-sq-ft-builder-floor-in-sirsi-road/9815613,"This builder floor in Sirsi Road, Jaipur offers a practical living space with its 1582 square feet layout, featuring three bedrooms and two bathrooms, making it suitable for a family.The property is semi-furnished, providing a good starting point for creating a personalized home environment, and it includes one dedicated parking space, adding a layer of convenience.Built within the last two"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8260000,4999,1652,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1652-sq-ft-builder-floor-in-sirsi-road/9815628,"A comfortable lifestyle awaits in this 1652 square feet, semi-furnished builder floor located in Sirsi Rd, Jaipur.This home features 3 bedrooms and 2 bathrooms, providing ample space for a family or individuals who appreciate room to spread out.The property is designed for ease of living, being situated on the ground floor for convenient access.With a construction age of 2 to"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,8235000,4999,1647,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1647-sq-ft-builder-floor-in-sirsi-road/9815627,"A practical investment opportunity awaits with this 3 bedroom, 2 bathroom builder floor located in Sirsi Rd, Jaipur, Rajasthan, India, offering a generous 1647 square feet of living space for 82.35 lakh.This semi-furnished home is built within the last 2 to 4 years, indicating modern construction and minimal upkeep required in the near future.Positioned on the ground floor, it provides"
 Builder Floor ,"3 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,7685000,4999,1537,3,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-pooja-room-1537-sq-ft-builder-floor-in-sirsi-road/9815592,"This builder floor offers a comfortable living experience with its three bedrooms and two bathrooms, perfect for a family.The 1537 square feet of semi-furnished space provides ample room to arrange your belongings and make the home your own.You will find one dedicated parking space included, adding to the convenience.This property is located in Sirsi Rd, Rajasthan, India, a desirable area"
 Builder Floor ,"2 BHK Builder Floor for Sale in Sirsi Road, Jaipur",sirsi road, Sirsi Road,5740000,5000,1148,2,2,FALSE,Built-up Area,1,1,1,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-pooja-room-1148-sq-ft-builder-floor-in-sirsi-road/9814941,"This semi-furnished 2-bedroom, 2-bathroom builder floor in Jaipur offers a comfortable living space of 1148 square feet, perfect for a growing family or as a sound investment.Located on Sirsi Road, this property comes with one dedicated parking spot, ensuring convenience for residents.The builder floor, which is between 2 to 4 years old, is situated in a developing area with good"
 Builder Floor ,"2 BHK Builder Floor for Sale in Bhapura, Jaipur",bhapura, Bhapura,5695000,5000,1139,2,2,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-2-bhk-1139-sq-ft-builder-floor-in-bhapura/9796690,"Here is a two-bedroom, two-bathroom builder floor in Bhapura, Jaipur, offering 1139 square feet of living space and a convenient 2-4 year property age.This semi-furnished home comes with one designated parking space, providing ease for your vehicle.The builder floor is situated in a developing area, presenting a good opportunity for those looking for a fresh start or a sound investment.Its"
 Builder Floor ,"3 BHK Builder Floor for Sale in Vaishali Nagar, Jaipur",vaishali nagar, Vaishali Nagar,7735000,4999,1547,3,2,FALSE,Built-up Area,1,1,0,0,0,0,Not Available,Semi-Furnished,Ready To Move,,https://www.squareyards.com/resale-3-bhk-1547-sq-ft-builder-floor-in-vaishali-nagar/9803915,"This semi-furnished builder floor in Vaishali Nagar, Jaipur offers a comfortable living space of 1547 square feet and is available for sale at 77.34 lakh.Built within the last two to four years, this property features three bedrooms and two bathrooms, making it ideal for a family.The design emphasizes practicality and modern living, providing a welcoming atmosphere for residents.With one dedicated"
